Week_ID,Date,Gas_Production_SCMD,Water_Production_m3_day,Pump_Trips,Workovers,Downtime_Hours,Estimated_Maintenance_Cost_INR,Estimated_Production_Loss_INR,Availability_Percent,MTBF_Hours,MTTR_Hours,Failure_Rate,Days_Since_Last_Workover,Fines_Proxy_Index,Data_Source
33,2025-01-13,2305,15.3,0,0,0.0,0,0,100.0,187.3,4.7,0,63,6.27,Synthetic - Demonstration Only
34,2025-01-20,2118,12.11,2,1,101.4,529671,357864,39.66,134.4,14.9,2,0,6.55,Synthetic - Demonstration Only
35,2025-01-27,2060,13.96,1,0,3.7,8789,12676,97.8,134.5,14.9,1,7,6.65,Synthetic - Demonstration Only
36,2025-02-03,2112,15.34,1,1,77.2,707783,271735,54.05,142.8,25.2,1,0,6.73,Synthetic - Demonstration Only
37,2025-02-10,2123,17.45,1,0,6.5,13887,23024,96.13,126.2,23.1,1,7,6.66,Synthetic - Demonstration Only
38,2025-02-17,2334,15.41,0,0,0.0,0,0,100.0,142.6,25.4,0,14,6.61,Synthetic - Demonstration Only
39,2025-02-24,1660,13.61,3,1,100.9,662676,279053,39.96,94.5,27.6,3,0,6.74,Synthetic - Demonstration Only
40,2025-03-03,2274,17.17,0,0,0.0,0,0,100.0,131.8,36.2,0,7,6.68,Synthetic - Demonstration Only
41,2025-03-10,2212,13.2,0,0,0.0,0,0,100.0,131.8,36.2,0,14,6.7,Synthetic - Demonstration Only
42,2025-03-17,2397,15.99,1,0,4.9,8456,19720,97.06,164.4,27.6,1,21,6.63,Synthetic - Demonstration Only
43,2025-03-24,1971,17.86,1,0,4.4,8168,14386,97.39,164.3,27.7,1,28,6.57,Synthetic - Demonstration Only
44,2025-03-31,2213,15.15,1,0,5.8,9699,21352,96.55,174.5,17.5,1,35,6.71,Synthetic - Demonstration Only
45,2025-04-07,2418,14.51,0,0,0.0,0,0,100.0,204.7,19.3,0,42,6.54,Synthetic - Demonstration Only
46,2025-04-14,2022,13.73,2,1,85.5,837408,288078,49.12,142.8,25.2,2,0,6.56,Synthetic - Demonstration Only
47,2025-04-21,1996,15.87,1,0,5.9,17374,19554,96.5,206.3,17.7,1,7,6.73,Synthetic - Demonstration Only
48,2025-04-28,2162,16.33,1,1,69.6,801263,250909,58.55,166.8,25.2,1,0,6.45,Synthetic - Demonstration Only
49,2025-05-05,2039,16.65,1,0,5.5,14040,18579,96.75,145.3,22.7,1,7,6.27,Synthetic - Demonstration Only
50,2025-05-12,1944,14.71,0,0,0.0,0,0,100.0,166.8,25.2,0,14,6.68,Synthetic - Demonstration Only
51,2025-05-19,1951,14.91,1,0,5.4,14348,17489,96.8,166.6,25.4,1,21,6.78,Synthetic - Demonstration Only
52,2025-05-26,2371,16.18,0,0,0.0,0,0,100.0,195.4,28.6,0,28,6.65,Synthetic - Demonstration Only
53,2025-06-02,2105,14.93,1,1,83.7,940089,293536,50.2,155.5,36.5,1,0,6.7,Synthetic - Demonstration Only
54,2025-06-09,2428,13.57,0,0,0.0,0,0,100.0,234.8,34.0,0,7,6.69,Synthetic - Demonstration Only
55,2025-06-16,2353,15.88,0,0,0.0,0,0,100.0,295.0,41.0,0,14,6.77,Synthetic - Demonstration Only
56,2025-06-23,2436,16.74,1,0,7.1,15858,28716,95.79,310.6,25.4,1,21,7.35,Synthetic - Demonstration Only
57,2025-06-30,2457,13.64,0,0,0.0,0,0,100.0,416.0,32.0,0,28,7.26,Synthetic - Demonstration Only
58,2025-07-07,2222,16.88,1,0,4.1,8804,15023,97.59,311.0,25.0,1,35,7.34,Synthetic - Demonstration Only
59,2025-07-14,2279,13.74,1,0,3.8,10930,14477,97.73,311.3,24.7,1,42,7.39,Synthetic - Demonstration Only
60,2025-07-21,2472,13.43,0,0,0.0,0,0,100.0,311.3,24.7,0,49,7.25,Synthetic - Demonstration Only
61,2025-07-28,2209,15.79,2,0,11.1,30904,40967,93.38,263.6,5.2,2,56,7.46,Synthetic - Demonstration Only
62,2025-08-04,2044,16.9,1,0,4.9,12038,16808,97.06,218.8,5.2,1,63,7.71,Synthetic - Demonstration Only
63,2025-08-11,2463,16.08,4,0,24.5,52934,100581,85.42,128.8,5.6,4,70,7.65,Synthetic - Demonstration Only
64,2025-08-18,1930,16.03,2,0,7.5,28190,24077,95.54,117.1,5.1,2,77,7.83,Synthetic - Demonstration Only
65,2025-08-25,2250,13.46,0,0,0.0,0,0,100.0,117.1,5.1,0,84,7.92,Synthetic - Demonstration Only
66,2025-09-01,2458,15.9,2,0,10.1,35719,41262,94.0,106.8,5.2,2,91,7.92,Synthetic - Demonstration Only
67,2025-09-08,2347,15.57,2,0,6.5,31059,25522,96.12,98.4,5.0,2,98,7.61,Synthetic - Demonstration Only
68,2025-09-15,2263,13.07,1,0,3.6,14485,13714,97.84,91.1,4.9,1,105,7.81,Synthetic - Demonstration Only
69,2025-09-22,2192,16.83,1,0,4.8,9520,17588,97.13,98.6,4.8,1,112,7.78,Synthetic - Demonstration Only
70,2025-09-29,1855,13.24,1,1,68.0,511710,210269,59.52,93.8,9.6,1,0,7.99,Synthetic - Demonstration Only
71,2025-10-06,2238,15.32,0,0,0.0,0,0,100.0,138.2,11.2,0,7,7.87,Synthetic - Demonstration Only
72,2025-10-13,2156,14.55,1,1,53.7,673108,193104,68.01,149.7,18.3,1,0,8.18,Synthetic - Demonstration Only
73,2025-10-20,2237,16.4,0,0,0.0,0,0,100.0,149.7,18.3,0,7,8.25,Synthetic - Demonstration Only
74,2025-10-27,2360,17.31,0,0,0.0,0,0,100.0,201.2,22.8,0,14,8.14,Synthetic - Demonstration Only
75,2025-11-03,2480,16.9,0,0,0.0,0,0,100.0,303.4,32.6,0,21,8.46,Synthetic - Demonstration Only
76,2025-11-10,2016,13.07,2,1,78.6,658679,264233,53.19,227.8,41.0,2,0,8.51,Synthetic - Demonstration Only
77,2025-11-17,1771,12.12,3,2,160.0,1532592,472267,4.76,140.5,51.5,3,0,8.37,Synthetic - Demonstration Only
78,2025-11-24,2410,15.14,0,0,0.0,0,0,100.0,175.3,48.7,0,7,8.41,Synthetic - Demonstration Only
79,2025-12-01,2232,14.83,0,0,0.0,0,0,100.0,175.3,48.7,0,14,8.61,Synthetic - Demonstration Only
80,2025-12-08,2073,16.59,1,0,7.0,12190,24152,95.84,183.1,40.9,1,21,8.58,Synthetic - Demonstration Only
81,2025-12-15,2376,15.74,0,0,0.0,0,0,100.0,183.1,40.9,0,28,8.72,Synthetic - Demonstration Only
82,2025-12-22,1936,13.5,5,1,128.8,715879,415493,23.35,88.1,34.0,5,0,8.88,Synthetic - Demonstration Only
83,2025-12-29,2488,16.02,0,0,0.0,0,0,100.0,88.1,34.0,0,7,9.1,Synthetic - Demonstration Only
84,2026-01-05,1913,14.9,0,0,0.0,0,0,100.0,116.5,32.9,0,14,9.62,Synthetic - Demonstration Only
85,2026-01-12,2204,17.29,1,0,2.5,14833,9357,98.48,172.2,19.8,1,21,9.81,Synthetic - Demonstration Only
86,2026-01-19,1937,16.74,0,0,0.0,0,0,100.0,172.2,19.8,0,28,9.71,Synthetic - Demonstration Only
87,2026-01-26,1674,14.55,4,2,160.0,1634595,446400,4.76,95.1,27.1,4,0,9.82,Synthetic - Demonstration Only
88,2026-02-02,2186,17.96,0,0,0.0,0,0,100.0,105.3,29.1,0,7,9.76,Synthetic - Demonstration Only
89,2026-02-09,2032,16.44,1,0,5.7,14794,19256,96.62,95.2,27.0,1,14,9.66,Synthetic - Demonstration Only
90,2026-02-16,2233,15.22,3,1,71.6,684931,266541,57.37,122.7,26.7,3,0,9.96,Synthetic - Demonstration Only
91,2026-02-23,2165,16.05,2,1,51.7,628654,186496,69.24,95.7,26.5,2,0,10.0,Synthetic - Demonstration Only
92,2026-03-02,2132,16.16,0,0,0.0,0,0,100.0,95.7,26.5,0,7,10.0,Synthetic - Demonstration Only
93,2026-03-09,2071,16.4,4,1,86.6,582527,298840,48.47,69.2,26.8,4,0,10.0,Synthetic - Demonstration Only
94,2026-03-16,2048,15.03,1,0,5.8,8618,19765,96.55,64.2,25.4,1,7,10.0,Synthetic - Demonstration Only
95,2026-03-23,1820,13.77,2,1,81.3,660792,246738,51.58,80.1,23.3,2,0,10.0,Synthetic - Demonstration Only
96,2026-03-30,2366,13.43,3,0,14.5,26827,57338,91.35,64.2,19.8,3,7,10.0,Synthetic - Demonstration Only
97,2026-04-06,2317,17.71,1,0,5.7,10879,21950,96.62,64.2,19.8,1,14,10.0,Synthetic - Demonstration Only
98,2026-04-13,2371,13.41,0,0,0.0,0,0,100.0,84.5,18.9,0,21,10.0,Synthetic - Demonstration Only
99,2026-04-20,1832,16.06,2,1,94.9,522149,289774,43.51,81.2,22.2,2,0,10.0,Synthetic - Demonstration Only
100,2026-04-27,1735,13.56,3,1,92.1,618250,266319,45.18,60.2,23.8,3,0,10.0,Synthetic - Demonstration Only
101,2026-05-04,2161,17.96,1,0,4.2,16310,14958,97.53,80.4,23.0,1,7,10.0,Synthetic - Demonstration Only
102,2026-05-11,2344,13.66,1,0,2.5,15609,9787,98.51,80.7,22.7,1,14,10.0,Synthetic - Demonstration Only
103,2026-05-18,2152,13.3,1,1,71.4,780059,256119,57.49,88.2,23.8,1,0,10.0,Synthetic - Demonstration Only
104,2026-05-25,2441,16.95,1,0,3.9,13024,15837,97.68,106.9,27.5,1,7,10.0,Synthetic - Demonstration Only
